age,educ,gender,religion,income,immig,loginc
53,16,Male,No religion,3500,6,8.1605186
25,12,Female,No religion,1700,5.6666665,7.4383836
27,16,Male,No religion,1900,9,7.5496092
48,13,Male,catholic,3500,8.333333,8.1605186
35,13,Female,No religion,1100,4.6666665,7.0030656
54,12,Female,catholic,2800,6,7.9373746
46,12,Female,No religion,1100,4.3333335,7.0030656
41,17,Female,No religion,4000,5.6666665,8.2940493
48,12,Male,Islamic,2800,8,7.9373746
35,17,Male,No religion,1000,8,6.9077554
27,13,Female,catholic,1500,5.6666665,7.3132205
42,15,Female,catholic,1200,5,7.0900769
54,16,Female,catholic,100000,5.3333335,11.512925
40,18,Female,catholic,3700,6,8.2160883
24,14,Male,No religion,2000,4,7.6009026
55,9,Male,No religion,900,5,6.8023949
43,14,Male,catholic,1300,5.6666665,7.1701198
54,11,Male,catholic,2400,2.6666667,7.7832241
56,10,Male,catholic,2350,3.6666667,7.7621708
38,17,Female,catholic,3200,5.3333335,8.0709057
45,17,Female,No religion,3000,5.6666665,8.0063677
33,16,Male,No religion,2000,5.6666665,7.6009026
23,16,Male,No religion,2050,3.6666667,7.6255951
64,17,Male,No religion,3680,6,8.2106676
39,18,Female,catholic,4400,6.3333335,8.3893595
45,13,Male,No religion,2900,4.3333335,7.972466
32,16,Female,No religion,2700,4.6666665,7.9010072
22,11,Male,No religion,400,3.6666667,5.9914646
27,16,Male,catholic,4000,5.6666665,8.2940493
33,19,Male,No religion,2003,6.6666665,7.6024013
32,22,Male,No religion,52000,7.3333335,10.858999
38,20,Male,catholic,20000,7.6666665,9.9034872
43,17,Female,No religion,2300,6.6666665,7.7406645
40,4,Male,No religion,977,3.6666667,6.8844867
54,3,Male,No religion,2800,6.6666665,7.9373746
24,15,Female,No religion,1450,5,7.2793188
27,15,Male,No religion,1800,4.6666665,7.495542
36,11,Male,catholic,2000,7,7.6009026
40,9,Male,Islamic,1500,4,7.3132205
52,6,Male,Islamic,1700,4,7.4383836
30,6,Female,catholic,1800,5,7.495542
35,6,Female,Islamic,1100,4,7.0030656
42,16,Female,No religion,2500,7,7.8240461
51,10,Female,catholic,2000,5.3333335,7.6009026
31,15,Male,No religion,4000,5.6666665,8.2940493
46,15,Female,No religion,5000,4.3333335,8.5171928
52,11,Female,catholic,550,5,6.3099184
53,14,Male,catholic,5000,5.6666665,8.5171928
26,15,Male,No religion,1300,9.333333,7.1701198
34,18,Female,catholic,2300,3.6666667,7.7406645
51,16,Male,catholic,4800,5.6666665,8.4763708
34,17,Female,No religion,2000,6,7.6009026
30,16,Male,catholic,4200,4.3333335,8.3428402
58,16,Male,No religion,5500,7.3333335,8.6125031
21,14,Male,No religion,2500,4,7.8240461
58,16,Male,No religion,7000,7,8.8536654
21,15,Female,catholic,2800,5.3333335,7.9373746
38,15,Female,No religion,1766,6.3333335,7.4764724
34,15,Male,No religion,2000,6.6666665,7.6009026
53,8,Male,catholic,1350,.33333334,7.20786
42,13,Female,No religion,3500,4.3333335,8.1605186
44,13,Male,No religion,4800,4.3333335,8.4763708
42,12,Female,No religion,1500,2.6666667,7.3132205
